atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
11675,0,0,99002,0,8324,Classe2
35464,0,0,71646,0,14568,Classe2
13450,0,0,131168,0,8872,Classe2
7040,0,0,71250,0,5702,Classe2
9357,0,0,132841,0,9246,Classe2
1826,0,0,103221,0,9289,Classe2
0,0,0,193905,0,9985,Classe2
5929,0,0,191179,0,19928,Classe2
16929,0,0,173481,0,9823,Classe2
0,0,0,47492,0,4010,Classe2
19724,8089,84,125038,0,18110,Classe2
0,0,0,125404,0,5853,Classe2
15437,0,0,89276,0,9871,Classe2
13341,0,0,130131,0,12192,Classe2
11661,0,0,69387,0,5546,Classe2
0,0,0,119677,0,14029,Classe2
7038,0,0,79947,0,5334,Classe2
15915,2567,34,141866,0,7400,Classe2
0,2332,21,91556,0,9020,Classe2
10262,0,0,124925,0,6300,Classe2
2696,0,0,129757,0,21144,Classe2
2,0,0,88300,0,7901,Classe2
9155,0,0,159826,0,12171,Classe2
10269,0,0,63494,0,4152,Classe2
2289,0,0,107037,0,7407,Classe2
10487,0,0,212333,0,18713,Classe2
21670,0,0,115325,0,6113,Classe2
10033,0,0,85484,0,4651,Classe2
10609,0,0,76202,0,5112,Classe2
5522,0,0,34403,0,6150,Classe2
123,0,0,64770,0,8773,Classe2
30,560,0,93786,0,7570,Classe2
5272,0,0,61584,1416,11864,Classe2
2,0,0,88300,0,7901,Classe2
3,0,0,172084,0,10478,Classe2
124,0,0,36605,0,3280,Classe2
0,0,0,128270,0,6170,Classe2
4624,2935,75,59300,0,3247,Classe2
14705,0,0,146670,0,8038,Classe2
14708,0,0,94462,0,9274,Classe2
66473,0,9977,3994,0,0,Classe1
34861,0,3233,0,0,0,Classe1
73707,0,5339,4,0,0,Classe1
66356,0,7659,0,0,0,Classe1
168222,0,17788,0,0,0,Classe1
93902,0,12640,11,28411,240,Classe1
59014,0,7544,4,0,0,Classe1
61561,0,5969,0,0,0,Classe1
69551,0,12489,605,388,12,Classe1
63964,0,5757,0,0,0,Classe1
103110,0,6102,0,0,0,Classe1
153282,0,19370,318,0,0,Classe1
98682,0,7165,651,18361,142,Classe1
125307,0,10393,0,0,0,Classe1
61630,0,5676,0,0,0,Classe1
129297,0,6966,0,0,0,Classe1
64155,0,5821,412,0,0,Classe1
87134,0,6181,174,0,0,Classe1
22733,0,9350,39,0,0,Classe1
29224,0,3008,71,0,0,Classe1
53215,0,3576,62,0,0,Classe1
31214,0,660,76,0,0,Classe1
49791,0,2408,38,0,0,Classe1
65616,0,2523,0,0,0,Classe1
52685,0,2866,498,0,0,Classe1
42658,0,2530,6,0,0,Classe1
70022,0,3598,57,0,0,Classe1
43926,0,143,0,0,0,Classe1
28438,0,1065,27,0,0,Classe1
29787,0,964,0,0,0,Classe1
35188,0,1399,220,0,0,Classe1
73273,0,6227,0,0,0,Classe1
34861,0,3233,0,0,0,Classe1
60690,0,955,0,0,0,Classe1
58924,0,5426,0,0,0,Classe1
92197,0,6501,1,0,0,Classe1
111217,0,16675,5,0,0,Classe1
122611,0,5305,3523,0,0,Classe1
189245,0,8222,0,1,0,Classe1
212314,0,11047,5,0,0,Classe1
