atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
11520,0,0,17609,98672,8324,Classe2
9634,0,0,18268,72213,51693,Classe2
35287,0,0,37157,71445,14568,Classe2
9676,0,0,17539,36386,5050,Classe2
13322,0,0,32510,130873,8872,Classe2
9196,0,0,17392,132352,9246,Classe2
42887,0,0,48150,92250,7122,Classe2
0,0,0,26585,193548,9985,Classe2
5821,0,0,18546,190238,19928,Classe2
16644,0,0,32671,173142,9823,Classe2
19518,0,0,42427,124881,18110,Classe2
0,0,0,57363,125260,5853,Classe2
15260,0,0,32765,88973,9871,Classe2
13788,0,0,25242,165225,9653,Classe2
4831,0,0,12989,144875,11189,Classe2
13229,0,0,25388,129701,12192,Classe2
11528,0,0,31930,69174,5546,Classe2
0,0,0,37442,119365,14029,Classe2
22397,0,0,62784,101827,14978,Classe2
6926,0,0,17221,79766,5334,Classe2
0,0,0,30504,141642,7400,Classe2
0,0,0,45383,91455,9020,Classe2
10102,0,0,20477,124652,6300,Classe2
0,0,0,40079,127253,21144,Classe2
0,0,0,34624,88146,7901,Classe2
9010,0,0,30497,159477,12171,Classe2
2148,0,0,12165,106619,7407,Classe2
9688,0,0,46774,212033,18713,Classe2
11516,0,0,43282,54829,5143,Classe2
5178,0,0,8125,78041,4651,Classe2
6635,0,0,20566,49168,11901,Classe2
0,0,0,3764,64510,8773,Classe2
0,0,0,14300,93406,7570,Classe2
0,0,0,34624,88146,7901,Classe2
2583,0,0,4383,65928,939,Classe2
0,0,0,7526,44888,2104,Classe2
0,0,0,15298,128005,6170,Classe2
4519,0,0,14657,59075,3247,Classe2
14503,0,0,32694,146363,8038,Classe2
14584,0,0,34999,94315,9274,Classe2
16726,66339,9977,3774,0,0,Classe1
53097,159039,17788,0,0,0,Classe1
42924,93576,12640,0,0,0,Classe1
12274,58823,7544,0,0,0,Classe1
59794,116847,5556,0,0,0,Classe1
11686,63732,5757,0,0,0,Classe1
13872,102844,6102,0,0,0,Classe1
10902,137646,7301,0,0,0,Classe1
21063,153069,19370,3,0,0,Classe1
36025,98370,7165,86,0,84,Classe1
31264,124966,10393,0,0,0,Classe1
39442,61412,5676,0,0,0,Classe1
30321,128984,6966,0,0,0,Classe1
10152,63956,5821,23,0,0,Classe1
37567,86299,6759,38,0,0,Classe1
10417,86841,6181,8,0,0,Classe1
5408,22480,9350,0,0,0,Classe1
12866,63114,1247,0,0,0,Classe1
4429,29073,3008,0,0,0,Classe1
5475,52470,3576,0,0,0,Classe1
9740,31039,660,0,0,0,Classe1
8330,49521,2408,0,0,0,Classe1
7006,65434,2523,0,0,0,Classe1
4800,54583,1255,0,0,0,Classe1
5839,52431,2866,427,0,0,Classe1
5146,42428,2530,0,0,0,Classe1
18448,31237,152,0,0,0,Classe1
21041,43587,143,0,0,0,Classe1
2724,28302,1065,0,0,0,Classe1
5027,29554,964,0,0,0,Classe1
14033,34997,1399,0,0,0,Classe1
53376,72954,6227,0,0,0,Classe1
4401,34703,3233,0,0,0,Classe1
25399,60995,2889,0,0,0,Classe1
15707,91888,6501,0,0,0,Classe1
20149,77613,4210,0,0,0,Classe1
11968,110845,16675,0,0,0,Classe1
12229,122290,5305,0,0,0,Classe1
43570,188867,8222,0,0,0,Classe1
29599,211977,11047,0,0,0,Classe1
