atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
16726,66339,9977,3774,0,0,Classe1
10705,66160,7659,0,0,0,Classe1
53261,159039,17788,0,0,0,Classe1
32748,170422,11823,0,0,0,Classe1
12322,58823,7544,0,0,0,Classe1
59942,116847,5556,0,0,0,Classe1
8933,61385,5969,0,0,0,Classe1
9515,69200,12489,73,0,0,Classe1
11738,63732,5757,0,0,0,Classe1
13942,102844,6102,0,0,0,Classe1
10964,137646,7301,0,0,0,Classe1
21161,153069,19370,3,0,0,Classe1
31456,124966,10393,0,0,0,Classe1
39582,61412,5676,0,0,0,Classe1
30407,128984,6966,0,0,0,Classe1
10262,63956,5821,0,0,0,Classe1
37675,86299,6759,15,0,0,Classe1
10399,86841,6181,8,0,0,Classe1
5421,22480,9350,0,0,0,Classe1
4478,29073,3008,0,0,0,Classe1
8366,49521,2408,0,0,0,Classe1
4746,54583,1255,0,0,0,Classe1
5839,52431,2866,427,0,0,Classe1
5136,42428,2530,0,0,0,Classe1
5731,69718,3598,34,0,0,Classe1
18537,31237,152,0,0,0,Classe1
21076,43587,143,0,0,0,Classe1
2737,28302,1065,0,0,0,Classe1
4719,29554,964,0,0,0,Classe1
14200,34997,1399,0,0,0,Classe1
46208,72954,6227,0,0,0,Classe1
4337,34703,3233,0,0,0,Classe1
25464,60995,2889,0,0,0,Classe1
0,60442,955,0,0,0,Classe1
14384,58705,5426,0,0,0,Classe1
19586,77613,4210,0,0,0,Classe1
12034,110845,16675,0,0,0,Classe1
12286,122290,5305,0,0,0,Classe1
43567,188867,8222,0,0,0,Classe1
29683,211977,11047,0,0,0,Classe1
11520,0,0,17731,98672,8324,Classe2
35287,0,0,37221,71445,14568,Classe2
9676,0,0,17591,36386,5050,Classe2
13322,0,0,32586,130873,8872,Classe2
6889,0,0,26562,70929,5702,Classe2
9196,0,0,17455,132352,9246,Classe2
1826,0,0,4813,102318,9289,Classe2
0,0,0,26585,193548,9985,Classe2
5821,0,0,18546,190238,19928,Classe2
0,0,0,24117,47325,4010,Classe2
19518,0,0,42523,124881,18110,Classe2
0,0,0,57503,125260,5853,Classe2
15260,0,0,32932,88973,9871,Classe2
13788,0,0,25331,165225,9653,Classe2
4831,0,0,13062,144875,11189,Classe2
13229,0,0,25473,129701,12192,Classe2
11528,0,0,32054,69174,5546,Classe2
22397,0,0,55460,101827,14978,Classe2
6926,0,0,17292,79766,5334,Classe2
0,0,0,30615,141642,7400,Classe2
0,0,0,45436,91455,9020,Classe2
10102,0,0,20552,124652,6300,Classe2
9010,0,0,30617,159477,12171,Classe2
10037,0,0,17555,63253,4152,Classe2
2148,0,0,9471,106619,7407,Classe2
9688,0,0,46959,212033,18713,Classe2
21534,0,0,62329,115114,6113,Classe2
5178,0,0,8162,78041,4651,Classe2
5298,0,0,10929,34264,6150,Classe2
6635,0,0,20607,49168,11901,Classe2
0,0,0,3772,64510,8773,Classe2
0,0,0,14374,93406,7570,Classe2
4813,0,0,9857,61219,11864,Classe2
0,0,0,34737,88146,7901,Classe2
0,0,0,18884,170913,10478,Classe2
0,0,0,5182,36431,3280,Classe2
2583,0,0,4324,65928,939,Classe2
0,0,0,7536,44888,2104,Classe2
0,0,0,15341,128005,6170,Classe2
4519,0,0,14599,59075,3247,Classe2
