atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
11448,0,0,17609,98672,8324,Classe2
9634,0,0,18268,72213,51693,Classe2
9649,0,0,17539,36386,5050,Classe2
13281,0,0,32510,130873,8872,Classe2
6770,0,0,26516,70929,5702,Classe2
9164,0,0,17392,132352,9246,Classe2
1801,0,0,4813,102318,9289,Classe2
42734,0,0,48150,92250,7122,Classe2
0,0,0,24081,47325,4010,Classe2
0,0,0,57363,125260,5853,Classe2
15232,0,0,32765,88973,9871,Classe2
13748,0,0,25242,165225,9653,Classe2
4815,0,0,12989,144875,11189,Classe2
11481,0,0,31930,69174,5546,Classe2
0,0,0,37442,119365,14029,Classe2
22337,0,0,62784,101827,14978,Classe2
6891,0,0,17221,79766,5334,Classe2
0,0,0,30504,141642,7400,Classe2
0,0,0,45383,91455,9020,Classe2
10077,0,0,20477,124652,6300,Classe2
0,0,0,40079,127253,21144,Classe2
0,0,0,34624,88146,7901,Classe2
8984,0,0,30497,159477,12171,Classe2
10037,0,0,17568,63253,4152,Classe2
9907,0,0,46693,212033,18713,Classe2
11495,0,0,43282,54829,5143,Classe2
21506,0,0,62209,115114,6113,Classe2
5190,0,0,8121,78041,4651,Classe2
10409,0,0,18668,75965,5112,Classe2
5306,0,0,10889,34264,6150,Classe2
6626,0,0,20566,49168,11901,Classe2
0,0,0,3764,64510,8773,Classe2
0,0,0,14300,93406,7570,Classe2
4735,0,0,9716,61219,11864,Classe2
0,0,0,18817,170913,10478,Classe2
0,0,0,5174,36431,3280,Classe2
2581,0,0,4383,65928,939,Classe2
4505,0,0,14657,59075,3247,Classe2
14472,0,0,32694,146363,8038,Classe2
14550,0,0,34999,94315,9274,Classe2
16726,66339,9977,3702,0,0,Classe1
4401,34703,3233,0,0,0,Classe1
13416,73482,5339,0,0,0,Classe1
53097,159039,17788,0,0,0,Classe1
42924,93576,12640,0,0,0,Classe1
32635,170422,11823,0,0,0,Classe1
9467,69200,12489,129,0,0,Classe1
13872,102844,6102,0,0,0,Classe1
10902,137646,7301,0,0,0,Classe1
21063,153069,19370,54,0,0,Classe1
36025,98370,7165,203,0,106,Classe1
31264,124966,10393,0,0,0,Classe1
30321,128984,6966,0,0,0,Classe1
10152,63956,5821,59,0,0,Classe1
37567,86299,6759,69,0,0,Classe1
10417,86841,6181,21,0,0,Classe1
5408,22480,9350,0,0,0,Classe1
12866,63114,1247,49,0,0,Classe1
4429,29073,3008,0,0,0,Classe1
5475,52470,3576,0,0,0,Classe1
9740,31039,660,0,0,0,Classe1
8330,49521,2408,0,0,0,Classe1
7006,65434,2523,0,0,0,Classe1
4800,54583,1255,0,0,0,Classe1
5839,52431,2866,427,0,0,Classe1
5146,42428,2530,0,0,0,Classe1
18448,31237,152,0,0,0,Classe1
21041,43587,143,0,0,0,Classe1
2724,28302,1065,0,0,0,Classe1
53376,72954,6227,0,0,0,Classe1
0,92104,12499,0,0,0,Classe1
4401,34703,3233,0,0,0,Classe1
25399,60995,2889,0,0,0,Classe1
0,60442,955,0,0,0,Classe1
14815,58705,5426,0,0,0,Classe1
15707,91888,6501,0,0,0,Classe1
20149,77613,4210,0,0,0,Classe1
11968,110845,16675,0,0,0,Classe1
12229,122290,5305,0,0,0,Classe1
43570,188867,8222,0,0,0,Classe1
