atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
0,8324,12006,1333,0,0,Classe1
62,51693,34113,851,172,0,Classe1
40,14568,35680,637,90,0,Classe1
94,5050,9948,694,83,0,Classe1
0,8872,13803,1062,0,0,Classe1
0,5702,7351,902,0,0,Classe1
3,9289,1942,1636,0,0,Classe1
608,7122,43632,1675,360,0,Classe1
454,9985,105,1405,301,0,Classe1
89,19928,6289,4769,21,0,Classe1
0,4010,76,831,121,0,Classe1
0,18110,20254,1013,34,0,Classe1
0,9871,15847,1423,0,0,Classe1
0,11189,5103,1639,0,0,Classe1
0,5546,11958,556,0,0,Classe1
0,14029,297,1099,0,0,Classe1
0,14978,22956,705,1,0,Classe1
0,5334,7417,1024,22,0,Classe1
0,7400,16430,1399,0,0,Classe1
0,9020,537,718,13,0,Classe1
0,6300,10485,752,0,0,Classe1
0,7901,351,1137,0,0,Classe1
0,12171,9503,1757,0,0,Classe1
62,7407,3039,1002,44,1415,Classe1
0,18713,10411,1561,145,0,Classe1
0,6113,22080,594,18,0,Classe1
0,5112,10782,453,0,0,Classe1
0,6150,5616,498,0,0,Classe1
0,11901,6974,7857,241,0,Classe1
73,8773,222,1448,106,0,Classe1
0,11864,857,799,74,1497,Classe1
0,7901,351,1137,0,0,Classe1
62,10478,141,3238,224,0,Classe1
0,3280,153,486,27,0,Classe1
0,939,2744,573,139,0,Classe1
244,2104,150,1083,352,987,Classe1
0,6170,198,808,9,0,Classe1
6,3247,4633,988,167,0,Classe1
88,8038,14941,1158,319,0,Classe1
0,9274,15067,1031,0,0,Classe1
2244,198,0,0,9977,4194,Classe2
1401,119,0,0,3233,4,Classe2
747,0,0,0,5339,178,Classe2
9931,120,0,0,17788,521,Classe2
1845,0,0,0,11823,361,Classe2
797,0,0,0,7544,201,Classe2
1089,0,0,0,5556,436,Classe2
637,0,0,0,5969,179,Classe2
763,29,0,0,5757,194,Classe2
730,0,0,0,6102,202,Classe2
1437,680,0,221,19370,563,Classe2
473,0,0,14377,7165,942,Classe2
843,125,0,0,10393,817,Classe2
431,57,0,11,5676,417,Classe2
1049,0,0,0,6966,223,Classe2
474,97,6,116,5821,412,Classe2
836,32,0,0,6759,527,Classe2
3503,23,0,0,9350,105,Classe2
810,58,0,25,1247,178,Classe2
424,14,0,0,3008,229,Classe2
741,476,0,0,3576,207,Classe2
1531,39,0,10,660,274,Classe1
1206,209,0,0,2408,282,Classe2
635,0,0,0,2523,145,Classe2
1433,320,0,49,2866,590,Classe2
1386,65,0,0,2530,37,Classe2
1051,0,0,45,3598,176,Classe2
941,91,0,0,152,150,Classe1
1454,48,0,0,143,108,Classe1
397,133,0,44,1065,133,Classe2
651,5,0,0,964,158,Classe2
2416,17,0,0,6227,563,Classe2
2531,523,0,135,12499,20,Classe2
1401,119,0,0,3233,4,Classe2
1185,97,0,0,2889,138,Classe2
1866,2631,0,164,5426,241,Classe2
1450,0,0,26,4210,251,Classe2
8801,0,0,0,16675,314,Classe2
1028,0,0,0,5305,3726,Classe2
1211,188,0,33,8222,477,Classe2
