atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
11520,0,0,740,98672,8324,Classe2
9634,0,0,25880,72213,51693,Classe2
8612,0,0,1058,104782,6483,Classe2
0,0,0,113,49624,12502,Classe2
12509,0,0,688,85812,4670,Classe2
13911,0,0,841,70842,5287,Classe2
35287,0,0,712,71445,14568,Classe2
9676,0,0,583,36386,5050,Classe2
13322,0,0,946,130873,8872,Classe2
6889,0,0,841,70929,5702,Classe2
1826,0,0,287,102318,9289,Classe2
5821,0,0,932,190238,19928,Classe2
16644,0,0,1267,173142,9823,Classe2
0,0,0,296,47325,4010,Classe2
19518,0,0,1338,124881,18110,Classe2
0,0,0,1181,125260,5853,Classe2
15260,0,0,1106,88973,9871,Classe2
13788,0,0,825,165225,9653,Classe2
4831,0,0,570,144875,11189,Classe2
13229,0,0,779,129701,12192,Classe2
11528,0,0,923,69174,5546,Classe2
0,0,0,907,119365,14029,Classe2
22397,0,0,1393,101827,14978,Classe2
6926,0,0,791,79766,5334,Classe2
0,0,0,17373,141642,7400,Classe2
0,0,0,1213,91455,9020,Classe2
10102,0,0,648,124652,6300,Classe2
0,0,0,1003,88146,7901,Classe2
9010,0,0,927,159477,12171,Classe2
9688,0,0,905,212033,18713,Classe2
11516,0,0,666,54829,5143,Classe2
21534,0,0,1098,115114,6113,Classe2
5178,0,0,5264,78041,4651,Classe2
10464,0,0,537,75965,5112,Classe2
5298,0,0,480,34264,6150,Classe2
6635,0,0,493,49168,11901,Classe2
0,0,0,644,93406,7570,Classe2
4813,0,0,820,61219,11864,Classe2
0,0,0,1003,88146,7901,Classe2
0,0,0,798,170913,10478,Classe2
2583,0,0,220,65928,939,Classe2
0,0,0,304,44888,2104,Classe2
4825,0,0,517,27156,4158,Classe2
0,0,0,744,23175,2492,Classe2
3161,0,0,336,26861,1524,Classe2
0,0,0,153,21238,4837,Classe2
0,0,0,293,49430,5833,Classe2
21534,0,0,1098,115114,6113,Classe2
17580,0,0,687,79439,8767,Classe2
0,0,0,441,128005,6170,Classe2
1889,0,0,434,42020,2814,Classe2
0,0,0,973,73557,3545,Classe2
0,0,0,3387,44190,2835,Classe2
0,0,0,528,30497,3053,Classe2
