atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
8788,0,0,323,39123,2512,Classe2
133,0,0,0,47113,327,Classe2
4050,0,0,334,60608,1470,Classe2
2234,0,0,470,19970,9206,Classe2
4519,0,0,240,59075,3247,Classe2
5736,0,0,619,33636,3530,Classe2
2036,0,0,105,51162,1739,Classe2
12139,0,0,360,82063,4233,Classe2
0,0,0,456,48107,4417,Classe2
1475,0,0,83,20170,1432,Classe2
0,0,0,140,34954,21,Classe2
3670,0,0,527,22534,1757,Classe2
12310,0,0,302,79609,1177,Classe2
1217,0,0,754,47683,3402,Classe2
2621,0,0,194,19216,1931,Classe2
7810,0,0,532,44631,1959,Classe2
1974,0,0,18,40366,2299,Classe2
0,0,0,2949,63436,11770,Classe2
0,0,0,319,64092,11428,Classe2
13406,0,0,838,60892,5641,Classe2
10733,0,0,939,98889,3749,Classe2
5469,0,0,251,89722,8067,Classe2
4500,0,0,358,35179,2084,Classe2
0,0,0,979,54376,9219,Classe2
12410,0,0,814,64714,5125,Classe2
21417,0,0,1073,124242,12126,Classe2
671,66339,9977,3774,0,0,Classe1
0,34703,3233,0,0,0,Classe1
1353,195378,11779,0,0,0,Classe1
923,131472,7175,0,0,0,Classe1
228,53609,3968,0,0,0,Classe1
1225,91451,150,0,0,0,Classe1
416,68318,4497,0,0,0,Classe1
561,63097,4170,0,0,0,Classe1
620,97788,3536,0,0,0,Classe1
981,86696,2965,0,0,0,Classe1
656,96003,1847,0,0,0,Classe1
1520,96188,12336,438,0,0,Classe1
413,73482,5339,0,0,0,Classe1
361,66160,7659,0,0,0,Classe1
1368,159039,17788,0,0,0,Classe1
1051,93576,12640,0,0,0,Classe1
437,58823,7544,0,0,0,Classe1
1099,116847,5556,0,0,0,Classe1
402,61385,5969,0,0,0,Classe1
1057,69200,12489,78,0,0,Classe1
461,63732,5757,0,0,0,Classe1
433,102844,6102,0,0,0,Classe1
458,137646,7301,0,0,0,Classe1
628,153069,19370,3,0,0,Classe1
753,98370,7165,86,0,106,Classe1
1315,124966,10393,0,0,0,Classe1
890,61412,5676,0,0,0,Classe1
585,128984,6966,0,0,0,Classe1
438,63956,5821,23,0,0,Classe1
414,86841,6181,8,0,0,Classe1
314,22480,9350,0,0,0,Classe1
566,63114,1247,0,0,0,Classe1
397,52470,3576,0,0,0,Classe1
359,31039,660,0,0,0,Classe1
393,49521,2408,0,0,0,Classe1
350,65434,2523,0,0,0,Classe1
215,54583,1255,0,0,0,Classe1
102,52431,2866,427,0,0,Classe1
29,42428,2530,0,0,0,Classe1
398,69718,3598,34,0,0,Classe1
509,31237,152,0,0,0,Classe1
618,43587,143,0,0,0,Classe1
223,28302,1065,0,0,0,Classe1
774,34997,1399,0,0,0,Classe1
1376,72954,6227,0,0,0,Classe1
0,92104,12499,0,0,0,Classe1
0,34703,3233,0,0,0,Classe1
659,60995,2889,0,0,0,Classe1
481,60442,955,0,0,0,Classe1
552,58705,5426,0,0,0,Classe1
383,91888,6501,0,0,0,Classe1
252,32845,608,0,0,0,Classe1
486,54917,738,0,0,0,Classe1
643,100167,1269,0,0,0,Classe1
55,0,911,0,0,0,Classe1
518,101419,4270,0,0,0,Classe1
394,39087,11399,0,0,0,Classe1
466,76252,9508,0,0,0,Classe1
4178,122290,5305,0,0,0,Classe1
298,78922,10600,15655,0,0,Classe1
1347,40258,9433,0,0,0,Classe1
311,45844,10678,0,0,0,Classe1
21070,136733,8630,0,0,0,Classe1
713,159691,13736,0,0,0,Classe1
660,150192,17146,0,0,0,Classe1
491,209324,20561,681,0,0,Classe1
485,93212,9167,0,0,0,Classe1
0,183253,12133,0,0,0,Classe1
1091,164716,7999,0,0,0,Classe1
128,108337,9602,37,0,0,Classe1
20,50563,4340,0,0,0,Classe1
700,211977,11047,0,0,0,Classe1
607,206841,9074,0,0,8,Classe1
325,63814,5378,0,0,0,Classe1
176,39362,1821,0,0,0,Classe1
551,92698,196,0,0,0,Classe1
506,112619,7549,0,0,0,Classe1
34,46350,3835,0,0,0,Classe1
21840,90230,7514,0,0,0,Classe1
632,239761,9814,0,0,0,Classe1
